***	O
if	O
it	O
should	O
prove	O
the	O
latter	O
,	O
so	O
as	O
that	O
we	O
should	O
be	O
obliged	O
to	O
come	O
back	O
to	O
the	O
west	O
,	O
and	O
not	O
be	O
able	O
to	O
find	O
an	O
opening	O
between	O
California	PNM
and	O
the	O
land	O
of	O
north	O
America	PNM
,	O
so	O
as	O
to	O
come	O
away	O
to	O
the	O
coast	O
of	O
Mexico	PNM
,	O
to	O
Acapulco	PNM
,	O
and	O
so	O
into	O
the	O
South	PNM
Sea	PNM
,	PNM
and	O
at	O
the	O
same	O
time	O
should	O
not	O
find	O
a	O
passage	O
through	O
Hudson	O
's	O
Bay	O
,	O
&	O
c.	O
,	O
into	O
the	O
North	O
Sea	O
,	O
and	O
so	O
to	O
Europe	PNM
,	O
we	O
should	O
not	O
only	O
spoil	O
the	O
voyage	O
that	O
way	O
also	O
,	O
but	O
should	O
infallibly	O
perish	O
by	O
the	O
severity	O
of	O
the	O
season	O
and	O
want	O
of	O
provisions	O
.	O

All	O
these	O
things	O
argued	O
against	O
any	O
attempt	O
that	O
way	O
;	O
whereas	O
,	O
on	O
the	O
other	O
hand	O
,	O
for	O
southern	O
discoveries	O
,	O
we	O
had	O
this	O
particular	O
encouragement	O
;	O
that	O
whatever	O
disappointment	O
we	O
might	O
meet	O
with	O
,	O
in	O
the	O
search	O
after	O
unknown	O
countries	O
,	O
yet	O
we	O
were	O
sure	O
of	O
an	O
open	O
sea	O
behind	O
us	O
;	O
and	O
that	O
whenever	O
we	O
thought	O
fit	O
to	O
run	O
south	O
beyond	O
the	O
tropic	O
,	O
we	O
should	O
find	O
innumerable	O
islands	O
where	O
we	O
might	O
get	O
water	O
,	O
and	O
some	O
sort	O
of	O
provisions	O
,	O
or	O
come	O
back	O
into	O
a	O
favourable	O
climate	O
,	O
and	O
have	O
the	O
benefit	O
of	O
the	O
trade	O
winds	O
,	O
to	O
carry	O
us	O
either	O
backward	O
or	O
forward	O
,	O
as	O
the	O
season	O
should	O
happen	O
to	O
guide	O
us	O
.	O

Last	O
of	O
all	O
,	O
we	O
had	O
this	O
assurance	O
,	O
that	O
,	O
the	O
dangers	O
of	O
the	O
seas	O
excepted	O
,	O
we	O
were	O
sure	O
of	O
an	O
outlet	O
before	O
us	O
,	O
if	O
we	O
went	O
forward	O
,	O
or	O
behind	O
us	O
,	O
if	O
we	O
were	O
forced	O
back	O
;	O
and	O
,	O
having	O
a	O
rich	O
cargo	O
,	O
if	O
we	O
were	O
to	O
do	O
nothing	O
but	O
go	O
home	O
,	O
we	O
should	O
be	O
able	O
to	O
give	O
our	O
employers	O
such	O
an	O
account	O
of	O
ourselves	O
,	O
as	O
that	O
they	O
would	O
be	O
very	O
far	O
from	O
being	O
losers	O
by	O
the	O
voyage	O
;	O
but	O
that	O
,	O
if	O
we	O
reached	O
safe	O
the	O
coast	O
of	O
New	PNM
Spain	PNM
,	O
and	O
met	O
with	O
an	O
open	O
commerce	O
there	O
,	O
as	O
we	O
expected	O
,	O
we	O
should	O
perhaps	O
make	O
the	O
most	O
prosperous	O
voyage	O
that	O
was	O
ever	O
made	O
round	O
the	O
globe	O
before	O
.	O

These	O
considerations	O
put	O
an	O
end	O
to	O
all	O
my	O
thoughts	O
of	O
going	O
northward	O
;	O
some	O
of	O
our	O
secret	O
council	O
,	O
-LRB-	O
for	O
,	O
by	O
the	O
way	O
,	O
we	O
consulted	O
our	O
foremast	O
men	O
no	O
more	O
,	O
but	O
had	O
a	O
secret	O
council	O
among	O
ourselves	O
,	O
the	O
resolutions	O
of	O
which	O
we	O
solemnly	O
engaged	O
not	O
to	O
disclose	O
-RRB-	O
;	O
some	O
of	O
these	O
,	O
I	O
say	O
,	O
were	O
for	O
steering	O
the	O
usual	O
course	O
,	O
from	O
the	O
Philippines	O
to	O
New	PNM
Spain	PNM
,	O
viz.	O
,	O
keeping	O
in	O
the	O
latitudes	O
of	O
11	O
or	O
13	O
°	O
north	O
the	O
line	O
,	O
and	O
so	O
making	O
directly	O
for	O
California	PNM
;	O
in	O
which	O
latitude	O
they	O
proposed	O
that	O
we	O
might	O
,	O
perhaps	O
,	O
by	O
cruising	O
thereabout	O
,	O
meet	O
with	O
the	O
Manilla	PNM
ships	O
,	O
going	O
from	O
New	PNM
Spain	PNM
to	O
Manilla	PNM
,	O
which	O
we	O
might	O
take	O
as	O
prizes	O
,	O
and	O
then	O
stand	O
directly	O
for	O
the	O
coast	O
of	O
Peru	PNM
.	O

But	O
I	O
opposed	O
this	O
,	O
principally	O
because	O
it	O
would	O
effectually	O
overthrow	O
all	O
my	O
meditated	O
discoveries	O
to	O
the	O
southward	O
;	O
and	O
,	O
secondly	O
,	O
because	O
I	O
had	O
observed	O
,	O
that	O
,	O
on	O
the	O
north	O
of	O
the	O
line	O
,	O
there	O
are	O
no	O
islands	O
to	O
be	O
met	O
with	O
,	O
in	O
all	O
the	O
long	O
run	O
of	O
near	O
two	O
thousand	O
leagues	O
,	O
from	O
Guam	O
,	O
one	O
of	O
the	O
Ladrones	O
,	O
to	O
the	O
land	O
of	O
California	PNM
;	O
and	O
that	O
we	O
did	O
not	O
find	O
we	O
were	O
able	O
to	O
subsist	O
during	O
so	O
long	O
a	O
run	O
,	O
especially	O
for	O
want	O
of	O
water	O
;	O
whereas	O
,	O
on	O
the	O
south	O
of	O
the	O
line	O
,	O
as	O
well	O
within	O
the	O
tropic	O
as	O
without	O
,	O
we	O
were	O
sure	O
to	O
meet	O
with	O
islands	O
innumerable	O
,	O
and	O
that	O
even	O
all	O
the	O
way	O
;	O
so	O
that	O
we	O
were	O
sure	O
of	O
frequent	O
relief	O
of	O
fresh	O
water	O
,	O
of	O
plants	O
,	O
fowl	O
,	O
and	O
fish	O
,	O
if	O
not	O
of	O
bread	O
and	O
flesh	O
,	O
almost	O
all	O
the	O
way	O
.	O

This	O
was	O
a	O
main	O
consideration	O
to	O
our	O
men	O
,	O
and	O
so	O
we	O
soon	O
resolved	O
to	O
take	O
the	O
southern	O
course	O
;	O
yet	O
,	O
as	O
I	O
said	O
,	O
we	O
stood	O
away	O
for	O
the	O
Ladrones	O
first	O
.	O

These	O
are	O
a	O
cluster	O
of	O
islands	O
,	O
which	O
lie	O
in	O
about	O
11	O
to	O
13	O
°	O
north	O
latitude	O
,	O
north-east	O
from	O
the	O
Moluccas	O
,	O
or	O
Spice	PNM
Islands	PNM
,	O
and	O
east	O
and	O
by	O
north	O
from	O
that	O
part	O
of	O
the	O
Philippines	O
where	O
we	O
were	O
,	O
and	O
at	O
the	O
distance	O
of	O
about	O
four	O
hundred	O
leagues	O
,	O
and	O
all	O
the	O
ships	O
which	O
go	O
or	O
come	O
between	O
the	O
Philippines	O
and	O
New	PNM
Spain	PNM
touch	O
at	O
them	O
,	O
for	O
the	O
convenience	O
of	O
provisions	O
,	O
water	O
,	O
&	O
c.	O
;	O
those	O
that	O
go	O
to	O
Spain	PNM
put	O
in	O
there	O
,	O
in	O
order	O
to	O
recruit	O
and	O
furnish	O
for	O
,	O
and	O
those	O
that	O
come	O
from	O
Spain	PNM
,	O
to	O
relieve	O
themselves	O
after	O
so	O
long	O
a	O
run	O
as	O
that	O
of	O
six	O
thousand	O
miles	O
,	O
for	O
so	O
much	O
it	O
is	O
at	O
least	O
from	O
Guam	PNM
to	O
Acapulco	PNM
;	O
on	O
these	O
accounts	O
,	O
and	O
with	O
these	O
reasonings	O
,	O
we	O
came	O
to	O
the	O
isles	O
of	O
the	O
Ladrones	O
.	O

During	O
our	O
run	O
between	O
the	O
Philippine	O
and	O
Ladrone	O
islands	O
,	O
we	O
lived	O
wholly	O
upon	O
our	O
fresh	O
provisions	O
,	O
of	O
which	O
we	O
laid	O
in	O
a	O
great	O
stock	O
at	O
Manilla	PNM
,	O
such	O
as	O
hogs	O
,	O
fowls	O
,	O
calves	O
,	O
and	O
six	O
or	O
seven	O
cows	O
,	O
all	O
alive	O
,	O
so	O
that	O
our	O
English	O
beef	O
and	O
pork	O
,	O
which	O
lay	O
well	O
stored	O
,	O
was	O
not	O
touched	O
for	O
a	O
long	O
time	O
.	O

At	O
the	O
Ladrones	O
we	O
recruited	O
,	O
and	O
particularly	O
took	O
on	O
board	O
,	O
as	O
well	O
alive	O
as	O
pickled	O
up	O
,	O
near	O
two	O
hundred	O
hogs	O
,	O
with	O
a	O
vast	O
store	O
of	O
roots	O
,	O
and	O
such	O
things	O
as	O
are	O
their	O
usual	O
food	O
in	O
that	O
country	O
.	O

We	O
took	O
in	O
also	O
above	O
three	O
thousand	O
cocoa-nuts	O
and	O
cabbages	O
;	O
yams	O
,	O
potatoes	O
,	O
and	O
other	O
roots	O
,	O
for	O
our	O
own	O
use	O
;	O
and	O
,	O
in	O
particular	O
,	O
we	O
got	O
a	O
large	O
quantity	O
of	O
maize	O
,	O
or	O
Indian	O
wheat	O
,	O
for	O
bread	O
,	O
and	O
some	O
rice	O
.	O

We	O
stored	O
ourselves	O
likewise	O
with	O
oranges	O
and	O
lemons	O
;	O
and	O
,	O
buying	O
a	O
great	O
quantity	O
of	O
very	O
good	O
limes	O
,	O
we	O
made	O
three	O
or	O
four	O
hogsheads	O
of	O
lime-juice	O
,	O
which	O
was	O
a	O
great	O
relief	O
to	O
our	O
men	O
in	O
the	O
hot	O
season	O
,	O
to	O
mix	O
with	O
their	O
water	O
;	O
as	O
for	O
making	O
punch	O
,	O
we	O
had	O
some	O
arrack	O
and	O
some	O
sugar	O
,	O
but	O
neither	O
of	O
them	O
in	O
such	O
quantity	O
as	O
to	O
have	O
much	O
punch	O
made	O
afore	O
the	O
mast	O
.	O

We	O
were	O
eighteen	O
days	O
on	O
our	O
passage	O
from	O
the	O
Strait	PNM
of	PNM
Mindora	PNM
to	O
Guam	PNM
,	O
and	O
stayed	O
six	O
days	O
at	O
the	O
latter	O
,	O
furnishing	O
ourselves	O
with	O
provisions	O
,	O
appearing	O
all	O
this	O
while	O
with	O
French	O
colours	O
,	O
and	O
Captain	O
Merlotte	O
as	O
commander	O
.	O

However	O
we	O
made	O
no	O
great	O
ceremony	O
here	O
with	O
the	O
Spanish	O
governor	O
,	O
as	O
I	O
have	O
said	O
already	O
,	O
only	O
that	O
Captain	O
Merlotte	O
,	O
after	O
we	O
had	O
been	O
here	O
two	O
days	O
,	O
sent	O
a	O
letter	O
to	O
him	O
by	O
a	O
French	O
officer	O
,	O
who	O
,	O
showing	O
his	O
commission	O
from	O
the	O
king	O
of	O
France	PNM
,	O
the	O
governor	O
presently	O
gave	O
us	O
product	O
,	O
as	O
we	O
call	O
it	O
,	O
and	O
leave	O
to	O
buy	O
what	O
provisions	O
we	O
wanted	O
.	O

In	O
compliment	O
for	O
this	O
civility	O
,	O
we	O
sent	O
the	O
governor	O
a	O
small	O
present	O
of	O
fine	O
scarlet	O
camlet	O
and	O
two	O
pieces	O
of	O
baize	O
;	O
and	O
he	O
made	O
a	O
very	O
handsome	O
return	O
,	O
in	O
such	O
refreshments	O
as	O
he	O
thought	O
we	O
most	O
wanted	O
.	O

There	O
was	O
another	O
reason	O
for	O
our	O
keeping	O
in	O
this	O
latitude	O
till	O
we	O
came	O
to	O
the	O
Ladrones	O
;	O
namely	O
,	O
that	O
all	O
the	O
southern	O
side	O
of	O
that	O
part	O
of	O
the	O
way	O
,	O
between	O
the	O
Philippines	O
and	O
the	O
Ladrones	O
,	O
is	O
so	O
full	O
of	O
islands	O
,	O
that	O
,	O
unless	O
we	O
had	O
been	O
provided	O
with	O
very	O
good	O
pilots	O
,	O
it	O
would	O
have	O
been	O
extremely	O
hazardous	O
;	O
and	O
,	O
add	O
to	O
this	O
,	O
that	O
,	O
beyond	O
these	O
islands	O
south	O
,	O
is	O
no	O
passage	O
;	O
the	O
land	O
,	O
which	O
they	O
call	O
Nova	PNM
Guinea	PNM
,	O
lying	O
away	O
east	O
and	O
east-south-east	O
,	O
farther	O
than	O
has	O
yet	O
been	O
discovered	O
;	O
so	O
that	O
it	O
is	O
not	O
yet	O
known	O
whether	O
that	O
country	O
be	O
an	O
island	O
or	O
the	O
continent	O
.	O

Having	O
for	O
all	O
these	O
reasons	O
gone	O
to	O
the	O
Ladrones	O
,	O
and	O
being	O
sufficiently	O
satisfied	O
in	O
our	O
reasons	O
for	O
going	O
away	O
from	O
thence	O
to	O
the	O
southward	O
,	O
and	O
having	O
stored	O
ourselves	O
,	O
as	O
above	O
,	O
with	O
whatever	O
those	O
islands	O
produced	O
,	O
we	O
left	O
the	O
Ladrones	O
the	O
10th	O
day	O
of	O
September	O
in	O
the	O
evening	O
,	O
and	O
stood	O
away	O
east-south-east	O
,	O
with	O
the	O
wind	O
north-north-west	O
,	O
a	O
fresh	O
gale	O
;	O
after	O
this	O
,	O
I	O
think	O
it	O
was	O
about	O
five	O
days	O
,	O
when	O
,	O
having	O
stretched	O
,	O
by	O
our	O
account	O
,	O
about	O
a	O
hundred	O
and	O
fifty	O
leagues	O
,	O
we	O
steered	O
away	O
more	O
to	O
the	O
southward	O
,	O
our	O
course	O
south-east-by-south	O
.	O

And	O
now	O
,	O
if	O
ever	O
,	O
I	O
expected	O
to	O
do	O
something	O
by	O
way	O
of	O
discovery	O
.	O

I	O
knew	O
very	O
well	O
there	O
were	O
few	O
,	O
if	O
any	O
,	O
had	O
ever	O
steered	O
that	O
course	O
;	O
or	O
that	O
,	O
if	O
they	O
had	O
,	O
they	O
had	O
given	O
very	O
little	O
account	O
of	O
their	O
travels	O
.	O

The	O
only	O
persons	O
who	O
leave	O
anything	O
worth	O
notice	O
being	O
Cornelius	O
Vanschouten	O
and	O
Francis	O
Le	O
Mare	O
,	O
who	O
,	O
though	O
they	O
sailed	O
very	O
much	O
to	O
the	O
south	O
,	O
yet	O
say	O
little	O
to	O
the	O
purpose	O
,	O
as	O
I	O
shall	O
presently	O
show	O
.	O

The	O
sixteenth	O
day	O
after	O
we	O
parted	O
from	O
the	O
Ladrones	O
,	O
being	O
,	O
by	O
observation	O
,	O
in	O
the	O
latitude	O
of	O
17	O
°	O
south	O
of	O
the	O
line	O
,	O
one	O
of	O
our	O
men	O
cried	O
,	O
A	O
sail	O
!	O

a	O
sail	O
!	O

which	O
put	O
us	O
into	O
some	O
fit	O
of	O
wonder	O
,	O
knowing	O
nothing	O
of	O
a	O
ship	O
of	O
any	O
bulk	O
could	O
be	O
met	O
with	O
in	O
those	O
seas	O
;	O
but	O
our	O
fit	O
of	O
wonder	O
was	O
soon	O
turned	O
to	O
a	O
fit	O
of	O
laughter	O
,	O
when	O
one	O
of	O
our	O
men	O
from	O
the	O
foretop	O
,	O
cried	O
out	O
,	O
Land	O
!	O

which	O
,	O
indeed	O
,	O
was	O
the	O
case	O
;	O
and	O
the	O
first	O
sailor	O
was	O
sufficiently	O
laughed	O
at	O
for	O
his	O
mistake	O
,	O
though	O
,	O
giving	O
him	O
his	O
due	O
,	O
it	O
looked	O
at	O
first	O
as	O
like	O
a	O
sail	O
as	O
ever	O
any	O
land	O
at	O
a	O
distance	O
could	O
look	O
.	O

Towards	O
evening	O
we	O
made	O
the	O
land	O
very	O
plain	O
,	O
distance	O
about	O
seven	O
leagues	O
south-by-east	O
,	O
and	O
found	O
that	O
it	O
was	O
not	O
an	O
island	O
,	O
but	O
a	O
vast	O
tract	O
of	O
land	O
,	O
extended	O
,	O
as	O
we	O
had	O
reason	O
to	O
believe	O
,	O
from	O
the	O
side	O
of	O
Gilolo	PNM
,	O
and	O
the	O
Spice	O
Islands	O
,	O
or	O
that	O
which	O
we	O
call	O
Nova	PNM
Guinea	PNM
,	O
and	O
never	O
yet	O
fully	O
discovered	O
.	O

The	O
land	O
lying	O
away	O
from	O
the	O
west-north-west	O
to	O
the	O
south-east-by-south	O
,	O
still	O
southerly	O
.	O

I	O
,	O
that	O
was	O
for	O
making	O
all	O
possible	O
discovery	O
,	O
was	O
willing	O
,	O
besides	O
the	O
convenience	O
of	O
water	O
,	O
and	O
perhaps	O
fresh	O
provisions	O
,	O
to	O
put	O
in	O
here	O
,	O
and	O
see	O
what	O
kind	O
of	O
country	O
it	O
was	O
;	O
so	O
I	O
ordered	O
the	O
brigantine	O
to	O
stand	O
in	O
for	O
the	O
shore	O
.	O

They	O
sounded	O
,	O
but	O
found	O
no	O
ground	O
within	O
half	O
a	O
league	O
of	O
the	O
shore	O
;	O
so	O
they	O
hoisted	O
out	O
their	O
boat	O
,	O
and	O
went	O
close	O
in	O
with	O
the	O
shore	O
,	O
where	O
they	O
found	O
good	O
anchor-hold	O
in	O
about	O
thirty-six	O
fathom	O
,	O
and	O
a	O
large	O
creek	O
,	O
or	O
mouth	O
of	O
a	O
river	O
;	O
here	O
they	O
found	O
eleven	O
to	O
thirteen	O
fathom	O
soft	O
oozy	O
sand	O
,	O
and	O
the	O
water	O
half	O
fresh	O
at	O
the	O
mouth	O
of	O
the	O
creek	O
.	O

Upon	O
notice	O
of	O
this	O
,	O
we	O
stood	O
in	O
,	O
and	O
came	O
all	O
to	O
an	O
anchor	O
in	O
the	O
very	O
creek	O
;	O
and	O
,	O
sending	O
our	O
boats	O
up	O
the	O
creek	O
,	O
found	O
the	O
water	O
perfectly	O
fresh	O
and	O
very	O
good	O
upon	O
the	O
ebb	O
,	O
about	O
a	O
league	O
up	O
the	O
river	O
.	O

Among	O
all	O
the	O
islands	O
in	O
this	O
part	O
of	O
the	O
world	O
,	O
that	O
is	O
to	O
say	O
,	O
from	O
the	O
Philippines	O
eastward	O
,	O
of	O
which	O
there	O
are	O
an	O
infinite	O
number	O
,	O
we	O
never	O
came	O
near	O
any	O
but	O
we	O
found	O
ourselves	O
surrounded	O
with	O
canoes	O
and	O
a	O
variety	O
of	O
boats	O
,	O
bringing	O
off	O
to	O
us	O
cocoa-nuts	O
,	O
plantains	O
,	O
roots	O
,	O
and	O
greens	O
,	O
to	O
traffic	O
for	O
such	O
things	O
as	O
they	O
could	O
get	O
;	O
and	O
that	O
in	O
such	O
numbers	O
,	O
we	O
were	O
tired	O
with	O
them	O
,	O
and	O
sometimes	O
alarmed	O
,	O
and	O
obliged	O
to	O
fire	O
at	O
them	O
.	O

But	O
here	O
,	O
though	O
we	O
saw	O
great	O
numbers	O
of	O
people	O
at	O
a	O
distance	O
from	O
the	O
shore	O
,	O
yet	O
we	O
saw	O
not	O
one	O
boat	O
or	O
bark	O
,	O
nor	O
anything	O
else	O
upon	O
the	O
water	O
.	O

We	O
stayed	O
two	O
or	O
three	O
days	O
taking	O
in	O
fresh	O
water	O
,	O
but	O
it	O
was	O
impossible	O
to	O
restrain	O
our	O
men	O
from	O
going	O
on	O
shore	O
,	O
to	O
see	O
what	O
sort	O
of	O
a	O
country	O
it	O
was	O
;	O
and	O
I	O
was	O
very	O
willing	O
they	O
should	O
do	O
so	O
.	O

Accordingly	O
,	O
two	O
of	O
our	O
boats	O
,	O
with	O
about	O
thirty	O
men	O
in	O
both	O
of	O
them	O
,	O
went	O
on	O
shore	O
on	O
the	O
east	O
side	O
of	O
the	O
creek	O
or	O
harbour	O
where	O
our	O
ship	O
lay	O
.	O

They	O
found	O
the	O
country	O
looked	O
wild	O
and	O
savage	O
;	O
but	O
,	O
though	O
they	O
could	O
find	O
no	O
houses	O
,	O
or	O
speak	O
with	O
the	O
inhabitants	O
,	O
they	O
saw	O
their	O
footsteps	O
and	O
their	O
seats	O
where	O
they	O
had	O
sat	O
down	O
under	O
some	O
trees	O
;	O
and	O
after	O
wandering	O
about	O
a	O
little	O
,	O
they	O
saw	O
people	O
,	O
both	O
men	O
and	O
women	O
,	O
at	O
a	O
distance	O
;	O
but	O
they	O
ran	O
away	O
from	O
our	O
men	O
,	O
at	O
first	O
sight	O
,	O
like	O
frightened	O
deer	O
;	O
nor	O
could	O
they	O
make	O
any	O
signal	O
to	O
them	O
to	O
be	O
understood	O
;	O
for	O
when	O
our	O
men	O
hallooed	O
and	O
called	O
after	O
them	O
,	O
they	O
ran	O
again	O
as	O
if	O
they	O
had	O
been	O
bewitched	O
.	O

Our	O
men	O
gathered	O
a	O
great	O
variety	O
of	O
green	O
stuff	O
,	O
though	O
they	O
knew	O
not	O
of	O
what	O
kind	O
,	O
and	O
brought	O
it	O
all	O
on	O
board	O
,	O
and	O
we	O
eat	O
a	O
great	O
deal	O
of	O
it	O
;	O
some	O
we	O
boiled	O
and	O
made	O
broth	O
of	O
,	O
and	O
some	O
of	O
our	O
men	O
,	O
who	O
had	O
the	O
scurvy	O
,	O
found	O
it	O
did	O
them	O
a	O
great	O
deal	O
of	O
good	O
;	O
for	O
the	O
herbs	O
were	O
of	O
a	O
spicy	O
kind	O
,	O
and	O
had	O
a	O
most	O
pleasant	O
agreeable	O
taste	O
:	O
but	O
none	O
of	O
us	O
could	O
tell	O
what	O
to	O
call	O
them	O
,	O
though	O
we	O
had	O
several	O
men	O
on	O
board	O
who	O
had	O
been	O
among	O
the	O
Spice	O
Islands	O
before	O
in	O
Dutch	O
ships	O
.	O

We	O
were	O
very	O
uneasy	O
that	O
we	O
could	O
get	O
nothing	O
here	O
but	O
a	O
little	O
grass	O
and	O
potherbs	O
,	O
as	O
our	O
men	O
called	O
it	O
,	O
and	O
the	O
men	O
importuned	O
me	O
to	O
let	O
them	O
have	O
two	O
boats	O
,	O
and	O
go	O
up	O
the	O
river	O
as	O
high	O
as	O
the	O
tide	O
would	O
carry	O
them	O
;	O
this	O
I	O
consented	O
to	O
,	O
being	O
as	O
willing	O
to	O
make	O
the	O
discovery	O
as	O
they	O
;	O
so	O
I	O
ordered	O
the	O
captain	O
of	O
the	O
Madagascar	O
ship	O
,	O
who	O
had	O
,	O
as	O
I	O
have	O
said	O
,	O
been	O
formerly	O
my	O
second	O
mate	O
,	O
to	O
go	O
along	O
with	O
them	O
.	O

But	O
in	O
the	O
morning	O
,	O
a	O
little	O
before	O
the	O
flood	O
was	O
made	O
,	O
I	O
was	O
called	O
out	O
of	O
my	O
cabin	O
to	O
see	O
an	O
army	O
,	O
as	O
they	O
told	O
me	O
,	O
coming	O
to	O
attack	O
us	O
.	O

I	O
turned	O
out	O
hastily	O
enough	O
,	O
as	O
may	O
be	O
easily	O
conjectured	O
,	O
and	O
such	O
an	O
army	O
appeared	O
as	O
no	O
ship	O
was	O
ever	O
attacked	O
with	O
;	O
for	O
we	O
spied	O
three	O
or	O
four	O
hundred	O
black	O
creatures	O
,	O
come	O
playing	O
and	O
tumbling	O
down	O
the	O
stream	O
towards	O
us	O
,	O
like	O
so	O
many	O
porpoises	O
in	O
the	O
water	O
.	O

I	O
was	O
not	O
satisfied	O
at	O
first	O
that	O
they	O
were	O
human	O
creatures	O
,	O
but	O
would	O
have	O
persuaded	O
our	O
men	O
,	O
that	O
they	O
were	O
sea-monsters	O
,	O
or	O
fishes	O
of	O
some	O
strange	O
kind	O
.	O

But	O
they	O
quickly	O
undeceived	O
us	O
,	O
for	O
they	O
came	O
swimming	O
about	O
our	O
ships	O
,	O
staring	O
and	O
wondering	O
and	O
calling	O
to	O
one	O
another	O
,	O
but	O
said	O
not	O
one	O
word	O
to	O
us	O
,	O
at	O
least	O
,	O
if	O
they	O
did	O
,	O
we	O
could	O
not	O
understand	O
them	O
.	O

Some	O
of	O
them	O
came	O
very	O
near	O
our	O
ships	O
,	O
and	O
we	O
made	O
signs	O
to	O
them	O
to	O
come	O
on	O
board	O
,	O
but	O
they	O
would	O
not	O
venture	O
.	O

We	O
tossed	O
one	O
of	O
them	O
a	O
rope	O
,	O
and	O
he	O
took	O
hold	O
of	O
it	O
boldly	O
;	O
but	O
as	O
soon	O
as	O
we	O
offered	O
to	O
pull	O
,	O
he	O
let	O
go	O
,	O
and	O
laughed	O
at	O
us	O
;	O
another	O
of	O
them	O
did	O
the	O
like	O
,	O
and	O
when	O
he	O
let	O
go	O
,	O
turned	O
up	O
his	O
black	O
buttocks	O
,	O
as	O
in	O
sport	O
at	O
us	O
;	O
the	O
language	O
of	O
which	O
,	O
in	O
our	O
country	O
,	O
we	O
all	O
knew	O
,	O
but	O
whether	O
it	O
had	O
the	O
same	O
meaning	O
here	O
,	O
we	O
were	O
at	O
a	O
loss	O
to	O
know	O
.	O

However	O
,	O
this	O
dumb	O
manner	O
of	O
conversing	O
with	O
them	O
we	O
did	O
not	O
like	O
,	O
neither	O
was	O
it	O
to	O
any	O
purpose	O
to	O
us	O
;	O
and	O
I	O
was	O
resolved	O
,	O
if	O
possible	O
,	O
to	O
know	O
something	O
more	O
of	O
them	O
than	O
we	O
could	O
get	O
thus	O
;	O
so	O
I	O
ordered	O
out	O
our	O
pinnace	O
with	O
six	O
oars	O
,	O
and	O
as	O
many	O
other	O
men	O
well	O
armed	O
,	O
to	O
row	O
among	O
them	O
;	O
and	O
,	O
if	O
possible	O
,	O
to	O
take	O
some	O
of	O
them	O
and	O
bring	O
them	O
on	O
board	O
.	O

They	O
went	O
off	O
,	O
but	O
the	O
six-oar	O
pinnace	O
,	O
though	O
a	O
very	O
nimble	O
boat	O
,	O
could	O
not	O
row	O
so	O
fast	O
as	O
they	O
could	O
swim	O
;	O
for	O
,	O
if	O
pulling	O
with	O
all	O
their	O
might	O
,	O
they	O
came	O
near	O
one	O
of	O
them	O
,	O
immediately	O
,	O
like	O
dog	O
and	O
duck	O
,	O
they	O
would	O
dive	O
,	O
and	O
come	O
up	O
again	O
thirty	O
or	O
forty	O
yards	O
off	O
;	O
so	O
that	O
our	O
men	O
did	O
not	O
know	O
which	O
way	O
to	O
row	O
after	O
them	O
;	O
however	O
,	O
at	O
last	O
getting	O
among	O
the	O
thickest	O
of	O
them	O
,	O
they	O
got	O
hold	O
of	O
two	O
,	O
and	O
with	O
some	O
difficulty	O
dragged	O
them	O
in	O
;	O
but	O
think	O
of	O
our	O
surprise	O
,	O
to	O
find	O
they	O
were	O
not	O
men	O
,	O
but	O
both	O
young	O
women	O
.	O

However	O
,	O
they	O
were	O
brought	O
on	O
board	O
naked	O
as	O
they	O
were	O
.	O

When	O
they	O
came	O
on	O
board	O
,	O
I	O
ordered	O
they	O
should	O
have	O
two	O
pieces	O
of	O
linen	O
wrapped	O
round	O
their	O
waists	O
to	O
cover	O
them	O
,	O
which	O
they	O
seemed	O
well	O
pleased	O
with	O
.	O

We	O
gave	O
them	O
also	O
several	O
strings	O
of	O
beads	O
,	O
and	O
our	O
men	O
tied	O
them	O
about	O
their	O
necks	O
,	O
and	O
about	O
their	O
arms	O
like	O
bracelets	O
,	O
and	O
they	O
were	O
wonderfully	O
delighted	O
with	O
their	O
ornaments	O
.	O

Others	O
of	O
our	O
men	O
gave	O
each	O
of	O
them	O
a	O
pair	O
of	O
scissors	O
,	O
with	O
needles	O
and	O
some	O
thread	O
,	O
and	O
threading	O
the	O
needles	O
,	O
showed	O
them	O
how	O
to	O
sew	O
with	O
them	O
;	O
we	O
also	O
gave	O
them	O
food	O
,	O
and	O
each	O
of	O
them	O
a	O
dram	O
of	O
arrack	O
,	O
and	O
made	O
signs	O
to	O
know	O
of	O
them	O
where	O
they	O
lived	O
;	O
they	O
pointed	O
up	O
to	O
the	O
river	O
,	O
but	O
we	O
could	O
by	O
no	O
means	O
understand	O
them	O
.	O

When	O
we	O
had	O
dressed	O
them	O
up	O
thus	O
with	O
necklaces	O
,	O
and	O
bracelets	O
,	O
and	O
linen	O
,	O
we	O
brought	O
them	O
up	O
upon	O
the	O
deck	O
,	O
and	O
made	O
them	O
call	O
to	O
their	O
country	O
folk	O
,	O
and	O
let	O
them	O
see	O
how	O
well	O
they	O
were	O
used	O
,	O
and	O
the	O
girls	O
beckoned	O
them	O
to	O
come	O
on	O
board	O
,	O
but	O
they	O
would	O
not	O
venture	O
.	O

However	O
,	O
as	O
I	O
thought	O
the	O
discovery	O
we	O
